rect,N,estimate,rel_error,rect_area,exact_area
small,100,0.9016000000,0.0454382266,1.9600000000,0.9445171859
large,100,0.8749922359,0.0736089835,9.7221359550,0.9445171859
small,600,0.9800000000,0.0375671450,1.9600000000,0.9445171859
large,600,0.9722135955,0.0293233517,9.7221359550,0.9445171859
small,1100,0.9301090909,0.0152544551,1.9600000000,0.9445171859
large,1100,0.9545369847,0.0106083816,9.7221359550,0.9445171859
small,1600,0.9395750000,0.0052324997,1.9600000000,0.9445171859
large,1600,1.0269006102,0.0872227902,9.7221359550,0.9445171859
small,2100,0.9286666667,0.0167816102,1.9600000000,0.9445171859
large,2100,0.8286963504,0.1226243812,9.7221359550,0.9445171859
small,2600,0.9310000000,0.0143112122,1.9600000000,0.9445171859
large,2600,1.0283028414,0.0887073912,9.7221359550,0.9445171859
small,3100,0.9306838710,0.0146459113,1.9600000000,0.9445171859
large,3100,0.9188986564,0.0271234128,9.7221359550,0.9445171859
small,3600,0.9516888889,0.0075929831,1.9600000000,0.9445171859
large,3600,0.9046987625,0.0421574366,9.7221359550,0.9445171859
small,4100,0.9575317073,0.0137790202,1.9600000000,0.9445171859
large,4100,0.9224172894,0.0233980883,9.7221359550,0.9445171859
small,4600,0.9254608696,0.0201757222,1.9600000000,0.9445171859
large,4600,0.9954621815,0.0539376057,9.7221359550,0.9445171859
small,5100,0.9450274510,0.0005402391,1.9600000000,0.9445171859
large,5100,0.9417127768,0.0029691456,9.7221359550,0.9445171859
small,5600,0.9474500000,0.0031050934,1.9600000000,0.9445171859
large,5600,0.9756857869,0.0329995065,9.7221359550,0.9445171859
small,6100,0.9269836066,0.0185635366,1.9600000000,0.9445171859
large,6100,0.8909301637,0.0567348302,9.7221359550,0.9445171859
small,6600,0.9553515152,0.0114707593,1.9600000000,0.9445171859
large,6600,0.9663213919,0.0230850283,9.7221359550,0.9445171859
small,7100,0.9465971831,0.0022021804,1.9600000000,0.9445171859
large,7100,0.9297648329,0.0156189355,9.7221359550,0.9445171859
small,7600,0.9544684211,0.0105357905,1.9600000000,0.9445171859
large,7600,0.9568628545,0.0130708777,9.7221359550,0.9445171859
small,8100,0.9620938272,0.0186091281,1.9600000000,0.9445171859
