dataset,size,algo,threshold,trial,time_us
random,500,ms,0,1,52
random,500,ms,0,2,42
random,500,ms,0,3,37
random,500,ms+ins,5,1,37
random,500,ms+ins,5,2,28
random,500,ms+ins,5,3,21
random,500,ms+ins,10,1,28
random,500,ms+ins,10,2,21
random,500,ms+ins,10,3,15
random,500,ms+ins,20,1,27
random,500,ms+ins,20,2,19
random,500,ms+ins,20,3,14
random,500,ms+ins,30,1,12
random,500,ms+ins,30,2,10
random,500,ms+ins,30,3,10
random,500,ms+ins,50,1,28
random,500,ms+ins,50,2,26
random,500,ms+ins,50,3,20
reverse,500,ms,0,1,21
reverse,500,ms,0,2,19
reverse,500,ms,0,3,19
reverse,500,ms+ins,5,1,13
reverse,500,ms+ins,5,2,10
reverse,500,ms+ins,5,3,10
reverse,500,ms+ins,10,1,13
reverse,500,ms+ins,10,2,9
reverse,500,ms+ins,10,3,8
reverse,500,ms+ins,20,1,17
reverse,500,ms+ins,20,2,11
reverse,500,ms+ins,20,3,9
reverse,500,ms+ins,30,1,8
reverse,500,ms+ins,30,2,8
reverse,500,ms+ins,30,3,8
reverse,500,ms+ins,50,1,23
reverse,500,ms+ins,50,2,19
reverse,500,ms+ins,50,3,15
nearly,500,ms,0,1,28
nearly,500,ms,0,2,34
nearly,500,ms,0,3,22
nearly,500,ms+ins,5,1,17
nearly,500,ms+ins,5,2,12
nearly,500,ms+ins,5,3,11
nearly,500,ms+ins,10,1,11
nearly,500,ms+ins,10,2,9
nearly,500,ms+ins,10,3,9
nearly,500,ms+ins,20,1,10
nearly,500,ms+ins,20,2,9
nearly,500,ms+ins,20,3,8
nearly,500,ms+ins,30,1,8
nearly,500,ms+ins,30,2,8
nearly,500,ms+ins,30,3,9
nearly,500,ms+ins,50,1,15
nearly,500,ms+ins,50,2,13
nearly,500,ms+ins,50,3,12
random,1000,ms,0,1,101
random,1000,ms,0,2,93
random,1000,ms,0,3,87
random,1000,ms+ins,5,1,75
random,1000,ms+ins,5,2,68
random,1000,ms+ins,5,3,60
random,1000,ms+ins,10,1,67
random,1000,ms+ins,10,2,58
random,1000,ms+ins,10,3,54
random,1000,ms+ins,20,1,67
random,1000,ms+ins,20,2,102
random,1000,ms+ins,20,3,83
random,1000,ms+ins,30,1,59
random,1000,ms+ins,30,2,54
random,1000,ms+ins,30,3,51
random,1000,ms+ins,50,1,66
random,1000,ms+ins,50,2,67
random,1000,ms+ins,50,3,70
reverse,1000,ms,0,1,46
reverse,1000,ms,0,2,43
reverse,1000,ms,0,3,39
reverse,1000,ms+ins,5,1,21
reverse,1000,ms+ins,5,2,19
reverse,1000,ms+ins,5,3,18
reverse,1000,ms+ins,10,1,19
