dataset,size,algo,trial,time_us
random,500,qs,1,23
random,500,qs,2,21
random,500,qs,3,22
random,500,intro,1,25
random,500,intro,2,16
random,500,intro,3,16
random,1000,qs,1,44
random,1000,qs,2,43
random,1000,qs,3,43
random,1000,intro,1,34
random,1000,intro,2,34
random,1000,intro,3,35
random,1500,qs,1,67
random,1500,qs,2,65
random,1500,qs,3,63
random,1500,intro,1,49
random,1500,intro,2,50
random,1500,intro,3,48
random,2000,qs,1,84
random,2000,qs,2,82
random,2000,qs,3,85
random,2000,intro,1,67
random,2000,intro,2,141
random,2000,intro,3,140
random,2500,qs,1,132
random,2500,qs,2,122
random,2500,qs,3,111
random,2500,intro,1,79
random,2500,intro,2,79
random,2500,intro,3,83
random,3000,qs,1,133
random,3000,qs,2,137
random,3000,qs,3,145
random,3000,intro,1,126
random,3000,intro,2,121
random,3000,intro,3,111
random,3500,qs,1,165
random,3500,qs,2,172
random,3500,qs,3,180
random,3500,intro,1,152
random,3500,intro,2,143
random,3500,intro,3,154
random,4000,qs,1,213
random,4000,qs,2,208
random,4000,qs,3,215
random,4000,intro,1,182
random,4000,intro,2,175
random,4000,intro,3,161
random,4500,qs,1,218
random,4500,qs,2,195
random,4500,qs,3,195
random,4500,intro,1,161
random,4500,intro,2,161
random,4500,intro,3,164
random,5000,qs,1,229
random,5000,qs,2,245
random,5000,qs,3,249
random,5000,intro,1,192
random,5000,intro,2,182
random,5000,intro,3,198
random,5500,qs,1,272
random,5500,qs,2,250
random,5500,qs,3,254
random,5500,intro,1,243
random,5500,intro,2,263
random,5500,intro,3,230
random,6000,qs,1,296
random,6000,qs,2,279
random,6000,qs,3,311
random,6000,intro,1,234
random,6000,intro,2,229
random,6000,intro,3,236
random,6500,qs,1,372
random,6500,qs,2,364
random,6500,qs,3,409
random,6500,intro,1,301
random,6500,intro,2,384
random,6500,intro,3,400
random,7000,qs,1,429
random,7000,qs,2,347
random,7000,qs,3,339
random,7000,intro,1,276
random,7000,intro,2,285
random,7000,intro,3,294
random,7500,qs,1,404
random,7500,qs,2,549
random,7500,qs,3,396
random,7500,intro,1,307
random,7500,intro,2,310
random,7500,intro,3,330
random,8000,qs,1,407
random,8000,qs,2,412
random,8000,qs,3,407
random,8000,intro,1,303
random,8000,intro,2,336
random,8000,intro,3,426
random,8500,qs,1,540
random,8500,qs,2,485
random,8500,qs,3,432
random,8500,intro,1,411
random,8500,intro,2,474
random,8500,intro,3,403
random,9000,qs,1,486
random,9000,qs,2,498
random,9000,qs,3,477
random,9000,intro,1,373
random,9000,intro,2,452
random,9000,intro,3,461
random,9500,qs,1,636
random,9500,qs,2,559
random,9500,qs,3,511
random,9500,intro,1,433
random,9500,intro,2,452
random,9500,intro,3,530
random,10000,qs,1,607
random,10000,qs,2,618
random,10000,qs,3,556
random,10000,intro,1,512
random,10000,intro,2,456
random,10000,intro,3,457
random,10500,qs,1,638
random,10500,qs,2,574
random,10500,qs,3,518
random,10500,intro,1,527
random,10500,intro,2,469
random,10500,intro,3,465
random,11000,qs,1,612
random,11000,qs,2,594
random,11000,qs,3,645
random,11000,intro,1,528
random,11000,intro,2,563
random,11000,intro,3,520
random,11500,qs,1,620
random,11500,qs,2,612
random,11500,qs,3,677
random,11500,intro,1,532
random,11500,intro,2,475
random,11500,intro,3,532
random,12000,qs,1,652
random,12000,qs,2,665
random,12000,qs,3,647
random,12000,intro,1,599
random,12000,intro,2,573
random,12000,intro,3,550
random,12500,qs,1,716
random,12500,qs,2,636
random,12500,qs,3,644
random,12500,intro,1,552
random,12500,intro,2,500
random,12500,intro,3,533
random,13000,qs,1,638
random,13000,qs,2,592
random,13000,qs,3,655
random,13000,intro,1,516
random,13000,intro,2,502
random,13000,intro,3,521
random,13500,qs,1,749
random,13500,qs,2,870
random,13500,qs,3,709
random,13500,intro,1,627
random,13500,intro,2,651
random,13500,intro,3,616
random,14000,qs,1,890
random,14000,qs,2,747
random,14000,qs,3,868
random,14000,intro,1,649
random,14000,intro,2,610
random,14000,intro,3,662
random,14500,qs,1,865
random,14500,qs,2,900
random,14500,qs,3,804
random,14500,intro,1,633
random,14500,intro,2,666
random,14500,intro,3,642
random,15000,qs,1,825
random,15000,qs,2,813
random,15000,qs,3,781
random,15000,intro,1,712
random,15000,intro,2,727
random,15000,intro,3,787
random,15500,qs,1,856
random,15500,qs,2,803
random,15500,qs,3,796
random,15500,intro,1,720
random,15500,intro,2,678
random,15500,intro,3,708
random,16000,qs,1,819
random,16000,qs,2,781
random,16000,qs,3,771
random,16000,intro,1,772
random,16000,intro,2,816
random,16000,intro,3,774
random,16500,qs,1,935
random,16500,qs,2,845
random,16500,qs,3,801
random,16500,intro,1,753
random,16500,intro,2,762
random,16500,intro,3,731
random,17000,qs,1,875
random,17000,qs,2,1005
random,17000,qs,3,1013
random,17000,intro,1,729
random,17000,intro,2,744
random,17000,intro,3,906
random,17500,qs,1,1152
random,17500,qs,2,1112
random,17500,qs,3,1059
random,17500,intro,1,923
random,17500,intro,2,1026
random,17500,intro,3,991
random,18000,qs,1,1127
random,18000,qs,2,1162
random,18000,qs,3,1195
random,18000,intro,1,1000
random,18000,intro,2,881
random,18000,intro,3,908
random,18500,qs,1,1262
random,18500,qs,2,1074
random,18500,qs,3,956
random,18500,intro,1,869
random,18500,intro,2,861
random,18500,intro,3,904
random,19000,qs,1,1038
random,19000,qs,2,966
random,19000,qs,3,1127
random,19000,intro,1,930
random,19000,intro,2,812
random,19000,intro,3,801
random,19500,qs,1,1077
random,19500,qs,2,989
random,19500,qs,3,1059
random,19500,intro,1,852
random,19500,intro,2,888
random,19500,intro,3,978
random,20000,qs,1,1140
random,20000,qs,2,1145
random,20000,qs,3,976
random,20000,intro,1,1016
random,20000,intro,2,959
random,20000,intro,3,891
random,20500,qs,1,973
random,20500,qs,2,1063
random,20500,qs,3,1166
random,20500,intro,1,944
random,20500,intro,2,883
random,20500,intro,3,857
random,21000,qs,1,1017
random,21000,qs,2,1092
random,21000,qs,3,1003
random,21000,intro,1,909
random,21000,intro,2,1024
random,21000,intro,3,959
random,21500,qs,1,1024
random,21500,qs,2,1020
random,21500,qs,3,1107
random,21500,intro,1,918
random,21500,intro,2,863
random,21500,intro,3,907
random,22000,qs,1,1211
random,22000,qs,2,1203
random,22000,qs,3,1030
random,22000,intro,1,897
random,22000,intro,2,1022
random,22000,intro,3,982
random,22500,qs,1,1123
random,22500,qs,2,1133
random,22500,qs,3,1347
random,22500,intro,1,1000
random,22500,intro,2,964
random,22500,intro,3,1029
random,23000,qs,1,1218
random,23000,qs,2,1225
random,23000,qs,3,1142
random,23000,intro,1,1124
random,23000,intro,2,1223
random,23000,intro,3,1086
random,23500,qs,1,1194
random,23500,qs,2,1244
random,23500,qs,3,1277
random,23500,intro,1,1062
random,23500,intro,2,1106
random,23500,intro,3,1183
random,24000,qs,1,1346
random,24000,qs,2,1302
random,24000,qs,3,1350
random,24000,intro,1,1127
random,24000,intro,2,1081
random,24000,intro,3,1114
random,24500,qs,1,1458
random,24500,qs,2,1287
random,24500,qs,3,1274
random,24500,intro,1,1127
random,24500,intro,2,1105
random,24500,intro,3,1113
random,25000,qs,1,1360
random,25000,qs,2,1474
random,25000,qs,3,1320
random,25000,intro,1,1130
random,25000,intro,2,1174
random,25000,intro,3,1037
random,25500,qs,1,1269
random,25500,qs,2,1575
random,25500,qs,3,1466
random,25500,intro,1,1089
random,25500,intro,2,1173
random,25500,intro,3,1201
random,26000,qs,1,1360
random,26000,qs,2,1451
random,26000,qs,3,1452
random,26000,intro,1,1182
random,26000,intro,2,1194
random,26000,intro,3,1201
random,26500,qs,1,1394
random,26500,qs,2,1472
random,26500,qs,3,1612
random,26500,intro,1,1261
random,26500,intro,2,1176
random,26500,intro,3,1237
random,27000,qs,1,1357
random,27000,qs,2,1446
random,27000,qs,3,1685
random,27000,intro,1,1189
random,27000,intro,2,1252
random,27000,intro,3,1278
random,27500,qs,1,1441
random,27500,qs,2,1454
random,27500,qs,3,1588
random,27500,intro,1,1355
random,27500,intro,2,1236
random,27500,intro,3,1298
random,28000,qs,1,1402
random,28000,qs,2,1460
random,28000,qs,3,1638
random,28000,intro,1,1261
random,28000,intro,2,1456
random,28000,intro,3,1361
random,28500,qs,1,1499
random,28500,qs,2,1573
random,28500,qs,3,1587
random,28500,intro,1,1203
random,28500,intro,2,1284
random,28500,intro,3,1324
random,29000,qs,1,1470
random,29000,qs,2,1633
random,29000,qs,3,1570
random,29000,intro,1,1368
random,29000,intro,2,1332
random,29000,intro,3,1386
random,29500,qs,1,1524
random,29500,qs,2,1821
random,29500,qs,3,1528
random,29500,intro,1,1366
random,29500,intro,2,1452
random,29500,intro,3,1257
random,30000,qs,1,1668
random,30000,qs,2,1659
random,30000,qs,3,1510
random,30000,intro,1,1493
random,30000,intro,2,1351
random,30000,intro,3,1437
reverse,500,qs,1,14
reverse,500,qs,2,11
reverse,500,qs,3,12
reverse,500,intro,1,8
reverse,500,intro,2,8
reverse,500,intro,3,8
reverse,1000,qs,1,24
reverse,1000,qs,2,24
reverse,1000,qs,3,25
reverse,1000,intro,1,15
reverse,1000,intro,2,15
reverse,1000,intro,3,15
reverse,1500,qs,1,37
reverse,1500,qs,2,42
reverse,1500,qs,3,35
reverse,1500,intro,1,23
reverse,1500,intro,2,23
reverse,1500,intro,3,21
reverse,2000,qs,1,48
reverse,2000,qs,2,46
reverse,2000,qs,3,45
reverse,2000,intro,1,29
reverse,2000,intro,2,31
reverse,2000,intro,3,30
reverse,2500,qs,1,60
reverse,2500,qs,2,60
reverse,2500,qs,3,60
reverse,2500,intro,1,41
reverse,2500,intro,2,40
reverse,2500,intro,3,39
reverse,3000,qs,1,76
reverse,3000,qs,2,74
reverse,3000,qs,3,75
reverse,3000,intro,1,49
reverse,3000,intro,2,52
reverse,3000,intro,3,47
reverse,3500,qs,1,81
reverse,3500,qs,2,83
reverse,3500,qs,3,84
reverse,3500,intro,1,49
reverse,3500,intro,2,53
reverse,3500,intro,3,49
reverse,4000,qs,1,88
reverse,4000,qs,2,83
reverse,4000,qs,3,81
reverse,4000,intro,1,54
reverse,4000,intro,2,51
reverse,4000,intro,3,53
reverse,4500,qs,1,91
reverse,4500,qs,2,99
reverse,4500,qs,3,101
reverse,4500,intro,1,68
reverse,4500,intro,2,65
reverse,4500,intro,3,66
reverse,5000,qs,1,111
reverse,5000,qs,2,103
reverse,5000,qs,3,103
reverse,5000,intro,1,66
reverse,5000,intro,2,66
reverse,5000,intro,3,64
reverse,5500,qs,1,117
reverse,5500,qs,2,124
reverse,5500,qs,3,126
reverse,5500,intro,1,81
reverse,5500,intro,2,85
reverse,5500,intro,3,87
reverse,6000,qs,1,138
reverse,6000,qs,2,131
reverse,6000,qs,3,123
reverse,6000,intro,1,85
reverse,6000,intro,2,88
reverse,6000,intro,3,87
reverse,6500,qs,1,154
reverse,6500,qs,2,145
reverse,6500,qs,3,135
reverse,6500,intro,1,105
reverse,6500,intro,2,105
reverse,6500,intro,3,101
reverse,7000,qs,1,175
reverse,7000,qs,2,177
reverse,7000,qs,3,180
reverse,7000,intro,1,103
reverse,7000,intro,2,105
reverse,7000,intro,3,96
reverse,7500,qs,1,161
reverse,7500,qs,2,175
reverse,7500,qs,3,174
reverse,7500,intro,1,113
reverse,7500,intro,2,113
reverse,7500,intro,3,114
reverse,8000,qs,1,174
reverse,8000,qs,2,159
reverse,8000,qs,3,223
reverse,8000,intro,1,112
reverse,8000,intro,2,106
reverse,8000,intro,3,109
reverse,8500,qs,1,201
reverse,8500,qs,2,194
reverse,8500,qs,3,203
reverse,8500,intro,1,148
reverse,8500,intro,2,131
reverse,8500,intro,3,141
reverse,9000,qs,1,227
reverse,9000,qs,2,256
reverse,9000,qs,3,254
reverse,9000,intro,1,165
reverse,9000,intro,2,158
reverse,9000,intro,3,132
reverse,9500,qs,1,207
reverse,9500,qs,2,229
reverse,9500,qs,3,228
reverse,9500,intro,1,145
reverse,9500,intro,2,132
reverse,9500,intro,3,131
reverse,10000,qs,1,215
reverse,10000,qs,2,212
reverse,10000,qs,3,209
reverse,10000,intro,1,138
reverse,10000,intro,2,136
reverse,10000,intro,3,135
